_from,_to,relType,sourceType,targetType
e_skills/e118a0e0-2f88-4cd6-aa35-c68e71318a55,e_skills/1b3163cf-f363-4d75-be52-43866360df5c,optional,knowledge,knowledge
e_skills/d095a956-ed1a-4a2e-ab3b-c6a49ea2cf64,e_skills/3619a001-5090-4131-a488-45662b1003b1,optional,knowledge,knowledge
e_skills/4fe044aa-c1f3-4b16-98d1-c328d069751d,e_skills/3905f7ef-b0f7-457a-9675-735fdfb36747,optional,knowledge,knowledge
e_skills/4bf222ad-a45d-4f3c-aec9-5fc345a3c7f8,e_skills/82918a60-07cd-4ec0-871f-b87dfae01ced,optional,knowledge,knowledge
e_skills/700d08d0-9b01-4670-8b65-65c894627635,e_skills/5400fdb2-99f1-42d4-ad2f-160458fd0c10,optional,knowledge,knowledge
e_skills/4cc36d05-5c0a-4ed5-a068-dd964e761405,e_skills/e72ccea8-51f1-4898-af31-022b073d82be,optional,knowledge,knowledge
e_skills/4cc36d05-5c0a-4ed5-a068-dd964e761405,e_skills/67a8f84f-8eda-44fb-b29b-3ce97ce595b9,optional,knowledge,knowledge
e_skills/4cc36d05-5c0a-4ed5-a068-dd964e761405,e_skills/04770e20-db0b-415a-80b8-0699e0fb7d07,optional,knowledge,knowledge
e_skills/4cc36d05-5c0a-4ed5-a068-dd964e761405,e_skills/064d1d7c-9329-40f4-b858-6e0e792eabdd,optional,knowledge,knowledge
e_skills/19d14203-095b-4d9c-8307-68a1d27f2f5a,e_skills/04290054-5c96-4d02-8a56-92d2a97ec18e,optional,knowledge,knowledge
e_skills/2bc9bd8a-5b17-4404-b95f-0dcf619c7934,e_skills/3c8859ae-5f25-4741-bdbd-4786c2653b8d,optional,knowledge,knowledge
e_skills/2bc9bd8a-5b17-4404-b95f-0dcf619c7934,e_skills/09899692-321b-4ad8-a122-8a17b2d01eb1,optional,knowledge,knowledge
e_skills/caf3faf2-6717-4270-95c7-8bee3a814e0d,e_skills/891b42fe-3226-4ab7-b301-832395826441,optional,knowledge,knowledge
e_skills/27ab7586-6c03-4965-818d-50342e4da4c6,e_skills/2be4de86-4ca1-4399-a116-bc90985a2f1c,optional,knowledge,knowledge
e_skills/27ab7586-6c03-4965-818d-50342e4da4c6,e_skills/bbb45034-d460-4c0c-8e75-d6500136dcfb,optional,knowledge,knowledge
e_skills/d9b23237-06a4-4c88-91b7-d6d8cf9b2688,e_skills/9b4296cc-ad05-4bc1-bcfe-2b6f43d946fe,optional,knowledge,knowledge
e_skills/d9b23237-06a4-4c88-91b7-d6d8cf9b2688,e_skills/dbdd3485-6b65-4fc9-8959-2dd70bddeb20,optional,knowledge,knowledge
e_skills/d9b23237-06a4-4c88-91b7-d6d8cf9b2688,e_skills/cd2db712-b0a6-40fd-977e-cf50bde70f80,optional,knowledge,knowledge
e_skills/923e372a-66ba-4fd4-b576-77e8b9b0c32c,e_skills/ac887287-cde7-4fd2-8178-10b8c86282f0,optional,knowledge,knowledge
e_skills/923e372a-66ba-4fd4-b576-77e8b9b0c32c,e_skills/1bb5b6bd-c69d-4b8d-8265-3b5b3f05e3a8,optional,knowledge,knowledge
e_skills/886b0187-da9d-4599-a9fd-67e3add899a3,e_skills/373df223-0ddb-4997-a586-9fb80ae232b2,optional,knowledge,knowledge
e_skills/62e326e7-1156-4dd6-be71-cbb4bf1dc0ed,e_skills/e683436d-2a82-4d6b-9af9-5012cae3ca77,optional,knowledge,knowledge
e_skills/017ecfa3-ac4c-488c-a276-35815c0828f2,e_skills/5f5c24c1-4721-403a-93b6-0e6964ac8606,optional,knowledge,knowledge
e_skills/983d363c-1720-42f1-a91e-40896c6c5781,e_skills/aed066b5-1784-465e-b8bb-a0c36bc164c1,optional,knowledge,knowledge
e_skills/983d363c-1720-42f1-a91e-40896c6c5781,e_skills/f3561e60-5de1-464d-999c-c7aecbbd56dc,optional,knowledge,knowledge
e_skills/983d363c-1720-42f1-a91e-40896c6c5781,e_skills/bd096f54-91c7-4850-a9f8-c8245f00cc1e,optional,knowledge,knowledge
e_skills/983d363c-1720-42f1-a91e-40896c6c5781,e_skills/5bebaa5b-4869-4245-9136-bb73e61e8352,optional,knowledge,knowledge
e_skills/9d0012a8-5664-4737-aa7b-6313acab4110,e_skills/a43678f1-b8d0-4852-804f-b70c4aa32b14,optional,knowledge,knowledge
e_skills/5081e164-b111-4e0b-bea8-2d3ae61e71d4,e_skills/fcd3fc7f-ca11-41f3-9a28-c593eb8d1d7b,optional,knowledge,knowledge
e_skills/9ca5447f-4d1b-42ef-bb34-0880218a5ac3,e_skills/cf585d37-5cab-46b6-b16d-81a06135a61a,optional,knowledge,knowledge
