_id,Element ID,DWA ID,DWA Title
o_dwa/61e4aa1b-4748-4ae6-b54a-37377b434a02,4.A.1.a.1,4.A.1.a.1.I01.D01,Review art or design materials.
o_dwa/d1cbd6d5-a2dd-4b62-b407-92003699ee67,4.A.1.a.1,4.A.1.a.1.I01.D02,Study details of musical compositions.
o_dwa/2f6988f7-09f6-43b1-a2e5-ab1d21e932b5,4.A.1.a.1,4.A.1.a.1.I01.D03,Review production information to determine costume or makeup requirements.
o_dwa/e8a9f78c-49a6-4734-a507-2772782434b0,4.A.1.a.1,4.A.1.a.1.I01.D04,Study scripts to determine project requirements.
o_dwa/c75fff3d-40cf-4712-be41-eabf1f4acf38,4.A.1.a.1,4.A.1.a.1.I02.D01,Read materials to determine needed actions.
o_dwa/053e0703-e66b-4572-8585-a4bad0302047,4.A.1.a.1,4.A.1.a.1.I02.D02,Read maps to determine routes.
o_dwa/6dd2cd9d-21c5-42bc-aa10-83e973185173,4.A.1.a.1,4.A.1.a.1.I02.D03,Review customer information.
o_dwa/4729b04b-ec9c-468e-ad88-56be97b1a352,4.A.1.a.1,4.A.1.a.1.I02.D04,Read work orders or other instructions to determine product specifications or materials requirements.
o_dwa/ea625635-f197-4b6e-898c-a6837404c8fe,4.A.1.a.1,4.A.1.a.1.I02.D05,Read technical information needed to perform maintenance or repairs.
o_dwa/5b9d7564-3725-46d2-bb61-ba4b6b9cfc7d,4.A.1.a.1,4.A.1.a.1.I02.D06,Study blueprints or other instructions to determine equipment setup requirements.
o_dwa/56cd5e1a-86e8-488f-ad86-be56c20368e3,4.A.1.a.1,4.A.1.a.1.I02.D07,Read documents to gather technical information.
o_dwa/d8251bfa-49b3-4023-88f9-5631c30549c3,4.A.1.a.1,4.A.1.a.1.I02.D08,Review technical documents to plan work.
o_dwa/3bab593b-8c2b-4579-96be-e43f664ab3dd,4.A.1.a.1,4.A.1.a.1.I02.D09,Review blueprints or specifications to determine work requirements.
o_dwa/61133a7b-2cfb-43e7-bb7f-57ff443e9e9f,4.A.1.a.1,4.A.1.a.1.I02.D10,Review work orders or schedules to determine operations or procedures.
o_dwa/547df18f-e7d9-42ac-a83e-7b438c5a2de3,4.A.1.a.1,4.A.1.a.1.I02.D11,Review blueprints or other instructions to determine operational methods or sequences.
o_dwa/fa3d0306-2f86-445c-9791-4c72d8ca77ef,4.A.1.a.1,4.A.1.a.1.I02.D12,Evaluate reports or designs to determine work needs.
o_dwa/21cd3470-8cc9-4f1b-8cfa-ab900432347d,4.A.1.a.1,4.A.1.a.1.I02.D13,Read work orders or descriptions of problems to determine repairs or modifications needed.
o_dwa/389044e8-9576-47d6-9b98-21895af0a69f,4.A.1.a.1,4.A.1.a.1.I02.D14,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities."
o_dwa/ba134854-c631-484d-8901-49f1503bc7e0,4.A.1.a.1,4.A.1.a.1.I02.D15,Review details of technical drawings or specifications.
o_dwa/8bfd05af-8d17-49a0-a0a1-534fc59b7feb,4.A.1.a.1,4.A.1.a.1.I02.D16,Read work orders to determine material or setup requirements.
o_dwa/9beeaac8-eeaf-443f-bd15-764a5dbfa2a0,4.A.1.a.1,4.A.1.a.1.I03.D01,Collect evidence for legal proceedings.
o_dwa/abc40c38-038c-4083-beec-d090cd47ab0e,4.A.1.a.1,4.A.1.a.1.I03.D02,Examine crime scenes to obtain evidence.
o_dwa/5719c605-7a6d-4e65-9d54-df2a18b46004,4.A.1.a.1,4.A.1.a.1.I03.D03,Investigate crimes committed within organizations.
o_dwa/9064be5c-ccc8-4c28-a05f-0f49a47ea705,4.A.1.a.1,4.A.1.a.1.I03.D04,Investigate legal issues.
o_dwa/096ae2f3-bec2-47ac-8b44-3d71dce64a36,4.A.1.a.1,4.A.1.a.1.I03.D05,Examine records or other types of data to investigate criminal activities.
o_dwa/3e7333a6-7227-4edc-a8a3-99946b140b19,4.A.1.a.1,4.A.1.a.1.I03.D06,Conduct hearings to investigate legal issues.
o_dwa/fd13a016-cc38-4e90-b08f-639aef05ccac,4.A.1.a.1,4.A.1.a.1.I03.D07,Investigate illegal or suspicious activities.
o_dwa/bcaa5f0b-6264-4a4b-b41a-23039114ef13,4.A.1.a.1,4.A.1.a.1.I04.D01,Obtain property information.
o_dwa/29fa7277-6723-4f08-8ec1-09063e2eab4d,4.A.1.a.1,4.A.1.a.1.I04.D02,Use databases to locate investigation details or other information.
o_dwa/e6792c89-c1d4-4e88-a934-1e7f026a348f,4.A.1.a.1,4.A.1.a.1.I04.D03,Search information sources to find specific data.
o_dwa/328b6b46-ec81-4c86-b34a-0ffe5a8ef077,4.A.1.a.1,4.A.1.a.1.I04.D04,Gather financial records.
o_dwa/e20b5192-0e58-4c35-ac4a-c2f9f6d8470c,4.A.1.a.1,4.A.1.a.1.I04.D05,Retrieve information from electronic sources.
o_dwa/5ec9b9b1-2f10-44fb-aa76-58c84648cffd,4.A.1.a.1,4.A.1.a.1.I04.D06,Gather information in order to provide services to clients.
o_dwa/58aa3f38-9974-4712-b155-8beb43530b64,4.A.1.a.1,4.A.1.a.1.I04.D07,"Search files, databases or reference materials to obtain needed information."
o_dwa/e7a46b83-37fd-4408-b69b-b1a66e0361a4,4.A.1.a.1,4.A.1.a.1.I04.D08,Collect archival data.
o_dwa/a7ff96d1-67b7-40e2-9e7a-8e75a161c86a,4.A.1.a.1,4.A.1.a.1.I05.D01,Evaluate information related to legal matters in public or personal records.
o_dwa/d9b92ca2-f5fb-4556-8327-645f33958952,4.A.1.a.1,4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.
o_dwa/6af344b6-2119-4281-9032-6ef640148a14,4.A.1.a.1,4.A.1.a.1.I06.D01,Gather organizational performance information.
o_dwa/93cd7cc5-f376-42e7-8f87-c89eaccbdd2b,4.A.1.a.1,4.A.1.a.1.I06.D02,Gather information about work conditions or locations.
o_dwa/2def1c06-c20d-430a-91b8-aade9d8b8884,4.A.1.a.1,4.A.1.a.1.I06.D03,Gather physical survey data.
o_dwa/5a428f6f-5b74-4d39-81ba-d1ef17c3363a,4.A.1.a.1,4.A.1.a.1.I06.D04,Collect data about project sites.
o_dwa/9b28554d-8724-4dfc-b419-47f75124d8fe,4.A.1.a.1,4.A.1.a.1.I07.D01,Obtain information about goods or services.
o_dwa/2d83a634-3ad6-4f19-8531-1b1d427b3e25,4.A.1.a.1,4.A.1.a.1.I08.D01,Research hydrologic features or processes.
o_dwa/32da4606-400d-4a36-b1ed-9cb864eb53aa,4.A.1.a.1,4.A.1.a.1.I08.D02,Research geological features or processes.
o_dwa/35305702-6009-4107-898b-13a0c51c41ef,4.A.1.a.1,4.A.1.a.1.I08.D03,Conduct climatological research.
o_dwa/d2756502-8bc7-4764-bf51-7eb699c99962,4.A.1.a.1,4.A.1.a.1.I09.D01,Conduct surveys in organizations.
o_dwa/f8744dd1-e26d-4bb9-903d-8e91161cc1a1,4.A.1.a.1,4.A.1.a.1.I09.D02,Research industrial processes or operations.
o_dwa/c146faab-c120-4335-9b0a-41031d8d86c4,4.A.1.a.1,4.A.1.a.1.I09.D03,Conduct scientific research of organizational behavior or processes.
o_dwa/c88f1a59-a9ea-49a3-93f7-ecf57be0da18,4.A.1.a.1,4.A.1.a.1.I10.D01,Research impacts of environmental conservation initiatives.
o_dwa/6edb0156-9bba-48bc-b165-a9d210a54e3f,4.A.1.a.1,4.A.1.a.1.I10.D02,Research issues related to the environment or sustainable business practices.
o_dwa/b437b777-ec0f-4160-828c-219ed78e9ecb,4.A.1.a.1,4.A.1.a.1.I10.D03,Investigate the environmental impact of projects.
o_dwa/eef1fbb4-e1da-45f0-a37f-2d325d8e93e2,4.A.1.a.1,4.A.1.a.1.I10.D04,Monitor environmental impacts of production or development activities.
o_dwa/bc598f7a-c417-4caa-926c-a366230bbebf,4.A.1.a.1,4.A.1.a.1.I10.D05,Research environmental impact of industrial or development activities.
o_dwa/f3610deb-78e0-414c-8649-bc32dad86fc6,4.A.1.a.1,4.A.1.a.1.I10.D06,Identify environmental concerns.
o_dwa/eec45532-aa4d-4a13-9632-ff422ba264b1,4.A.1.a.1,4.A.1.a.1.I10.D07,Evaluate environmental impact of operational or development activities.
o_dwa/139d8251-e268-47be-9389-bbc46695c25a,4.A.1.a.1,4.A.1.a.1.I11.D01,Gather information for news stories.
o_dwa/6aaceed7-6538-4c2e-a147-56f839129a87,4.A.1.a.1,4.A.1.a.1.I12.D01,Gather medical information from patient histories.
o_dwa/6f5a084d-bcac-4455-b466-6e37c29607f7,4.A.1.a.1,4.A.1.a.1.I12.D02,"Collect medical information from patients, family members, or other medical professionals."
o_dwa/9a5f136f-c92e-4023-bca9-f0f3ec7b6e5c,4.A.1.a.1,4.A.1.a.1.I12.D03,"Collect information from people through observation, interviews, or surveys."
o_dwa/724f7a0d-3166-4aec-aac0-7508c217d01d,4.A.1.a.1,4.A.1.a.1.I12.D04,Collect information about clients.
o_dwa/ac546ca2-a2dd-47b0-bf59-295a2503ea83,4.A.1.a.1,4.A.1.a.1.I13.D01,Research livestock management methods.
o_dwa/319a2896-d1ed-4fe5-9c17-0c689468af4a,4.A.1.a.1,4.A.1.a.1.I13.D02,Research crop management methods.
o_dwa/2eaad98d-33af-4147-8b2a-31fc3b5a07ee,4.A.1.a.1,4.A.1.a.1.I13.D03,Research sustainable agricultural processes or practices.
o_dwa/bf192e57-4545-4b7e-99e7-100b521ebe97,4.A.1.a.1,4.A.1.a.1.I14.D01,Conduct market research.
o_dwa/86b3ea63-bfbf-4536-b1bf-5181b6d3e325,4.A.1.a.1,4.A.1.a.1.I14.D02,Gather customer or product information to determine customer needs.
o_dwa/8944a90b-9d2f-4c10-9168-790d11582c75,4.A.1.a.1,4.A.1.a.1.I14.D03,Obtain personal or financial information about customers or applicants.
o_dwa/a337a8bd-430d-4dd0-9a62-65a3d427fc73,4.A.1.a.1,4.A.1.a.1.I14.D04,Conduct opinion surveys or needs assessments.
o_dwa/240d9782-dc67-4611-b924-f2555ac8dd2d,4.A.1.a.1,4.A.1.a.1.I14.D05,Collect data about customer needs.
o_dwa/d361d67d-b8d6-4bf2-b00d-85742d9883f9,4.A.1.a.1,4.A.1.a.1.I15.D01,Observe individuals' activities to gather information or compile evidence.
o_dwa/ace56bab-ea11-4e5b-a841-5ca73085e5c8,4.A.1.a.1,4.A.1.a.1.I15.D02,Investigate personal characteristics or activities of individuals.
o_dwa/54727842-508f-441c-a3c8-4e4037437694,4.A.1.a.1,4.A.1.a.1.I16.D01,Research genetic characteristics or expression.
o_dwa/430be78c-aa31-494a-ad34-f4398838bc57,4.A.1.a.1,4.A.1.a.1.I16.D02,Research diseases or parasites.
o_dwa/27ac3b1a-6146-4999-8a25-352eeb20f009,4.A.1.a.1,4.A.1.a.1.I16.D03,Conduct research of processes in natural or industrial ecosystems.
o_dwa/2d77acf2-52c6-45bb-9654-5707cee3c264,4.A.1.a.1,4.A.1.a.1.I16.D04,Research microbiological or chemical processes or structures.
o_dwa/7385ab20-90d8-4857-b96b-b0cbf2fb1ac4,4.A.1.a.1,4.A.1.a.1.I16.D05,Classify organisms based on their characteristics or behavior.
o_dwa/d574c46b-46ce-4d85-b23e-adb9ac4261bb,4.A.1.a.1,4.A.1.a.1.I16.D06,Examine characteristics or behavior of living organisms.
o_dwa/2c7aed1f-ec65-4ed3-8374-92c4b763890a,4.A.1.a.1,4.A.1.a.1.I17.D01,Obtain documentation to authorize activities.
o_dwa/9e50bc61-e3b9-4dfd-8886-23ee3b0d269b,4.A.1.a.1,4.A.1.a.1.I17.D02,Obtain copyrights or other legal permissions.
o_dwa/4c165d5a-465c-45c3-8ecf-4b2efd644139,4.A.1.a.1,4.A.1.a.1.I17.D03,Obtain written authorization to perform activities.
o_dwa/52cf42e7-7802-43bf-81ac-92edd9ab00db,4.A.1.a.1,4.A.1.a.1.I18.D01,Conduct anthropological or archaeological research.
o_dwa/1436af9b-82bd-47bd-a071-96a78903759d,4.A.1.a.1,4.A.1.a.1.I18.D02,Conduct historical research.
o_dwa/62eff94d-8e86-49c1-95f8-0a93a03e6693,4.A.1.a.1,4.A.1.a.1.I18.D03,Conduct research on social issues.
o_dwa/961ed38e-9f56-476e-bf55-13846ef8cda2,4.A.1.a.1,4.A.1.a.1.I19.D01,Conduct research to increase knowledge about medical issues.
o_dwa/e75fe318-e365-4129-bb42-77eabd732df8,4.A.1.a.1,4.A.1.a.1.I19.D02,Collect information about community health needs.
o_dwa/dcab3259-bdb7-48e4-ab8e-f37591393278,4.A.1.a.1,4.A.1.a.1.I20.D01,Research engineering aspects of biological or chemical processes.
o_dwa/d0d6e1b3-015b-4cb1-afdc-a8dbdb3621e7,4.A.1.a.1,4.A.1.a.1.I20.D02,Research engineering applications of emerging technologies.
o_dwa/daf810d2-d14d-4d90-be7d-f5964a8d4f17,4.A.1.a.1,4.A.1.a.1.I20.D03,Research design or application of green technologies.
o_dwa/a4a143c7-f8ab-4e36-8860-8aad83c1231e,4.A.1.a.1,4.A.1.a.1.I20.D04,Conduct research to gain information about products or processes.
o_dwa/83b6d1be-7a0c-4501-925a-dc3a5a91543a,4.A.1.a.1,4.A.1.a.1.I20.D05,Research advanced engineering designs or applications.
o_dwa/04bb6c16-0685-47d0-8bf1-489b39236203,4.A.1.a.1,4.A.1.a.1.I20.D06,"Research energy production, use, or conservation."
o_dwa/e107026a-b673-4691-af49-077c0ecca54e,4.A.1.a.1,4.A.1.a.1.I20.D07,Research human performance or health factors related to engineering or design activities.
o_dwa/7579e7dd-e052-47db-9d64-0c81e07809eb,4.A.1.a.1,4.A.1.a.1.I20.D08,Research new technologies.
o_dwa/0a180c13-8a27-4937-aa83-a4f6f5fdd0ae,4.A.1.a.1,4.A.1.a.1.I20.D09,Research product safety.
o_dwa/0f3e9b30-c8bc-4e57-bb89-31b26774dde1,4.A.1.a.1,4.A.1.a.1.I20.D10,Research methods to improve food products.
o_dwa/e55f5d14-374a-412f-844e-51550b67eccc,4.A.1.a.1,4.A.1.a.1.I21.D01,Investigate accidents to determine causes.
o_dwa/53dd5c6f-5d08-4021-bf26-19405b5e89b5,4.A.1.a.1,4.A.1.a.1.I21.D02,Examine debris to obtain information about causes of fires.
o_dwa/eb0c346b-4670-45f4-99bc-6ca2f365e1c3,4.A.1.a.1,4.A.1.a.1.I21.D03,"Investigate transportation incidents, violations, or complaints."
o_dwa/53fdccae-8cca-45b0-82f4-d2cd9f2c806a,4.A.1.a.1,4.A.1.a.1.I21.D04,Investigate industrial or transportation accidents.
o_dwa/2e251e43-646e-4392-8e48-55ac7954a609,4.A.1.a.1,4.A.1.a.1.I22.D01,"Investigate system, equipment, or product failures."
o_dwa/fcc832e2-84c7-4c56-a063-08d15c88f211,4.A.1.a.1,4.A.1.a.1.I22.D02,Investigate work related complaints to determine corrective actions.
o_dwa/83ada77e-f538-461d-818b-680b35a4a896,4.A.1.a.1,4.A.1.a.1.I22.D03,Investigate safety of work environment.
o_dwa/8741bb22-f85a-4ead-a1b5-ac67572d5913,4.A.1.a.1,4.A.1.a.1.I23.D01,"Interview employees, customers, or others to collect information."
o_dwa/e1d5017b-3922-4161-8ccb-613837dba6ad,4.A.1.a.1,4.A.1.a.1.I23.D02,Interview others for news or entertainment purposes.
o_dwa/1da88ade-4dc3-45f5-8a28-777536205f52,4.A.1.a.1,4.A.1.a.1.I23.D03,Interview clients to gather financial information.
o_dwa/46e42d04-732f-46f5-948e-1c8960b46589,4.A.1.a.1,4.A.1.a.1.I23.D04,Interview people to obtain information about actions or status of individuals.
o_dwa/0686419e-90a1-463e-bf64-995b6167ebf3,4.A.1.a.1,4.A.1.a.1.I23.D05,Interview people to gather information about criminal activities.
o_dwa/67cd3260-a61e-45c7-81e1-e0c55d8a0762,4.A.1.a.1,4.A.1.a.1.I23.D06,Interview patients to gather medical information.
o_dwa/b4e8c853-952d-41e8-945d-844c06a9e1cf,4.A.1.a.1,4.A.1.a.1.I23.D07,Interview claimants to get information related to legal proceedings.
