_id,Scale ID,Element ID,O*NET-SOC Code
o_jobAbilities/eabd8d30-8895-4eee-9207-3564d3203383,,1.A.1.a.1,11-1011.00
o_jobAbilities/b08f6e45-f8c8-4c4c-a7a3-7cdc52a196ee,,1.A.1.a.2,11-1011.00
o_jobAbilities/57043bf1-c739-45d7-a332-a8e328972ee6,,1.A.1.a.3,11-1011.00
o_jobAbilities/175bb91f-5dc9-4d8a-859e-d34bb196d88a,,1.A.1.a.4,11-1011.00
o_jobAbilities/b5f8e937-8567-4207-ba87-2fa6f9af7559,,1.A.1.b.1,11-1011.00
o_jobAbilities/6239b24d-f167-42af-a5f7-7a5467c371c2,,1.A.1.b.2,11-1011.00
o_jobAbilities/ad2b1fcd-1bde-4b46-93c6-b8c7f8df2110,,1.A.1.b.3,11-1011.00
o_jobAbilities/60dac634-c7e5-40e9-a399-eeda72ae6c54,,1.A.1.b.4,11-1011.00
o_jobAbilities/46e4dffa-a3ee-4c6f-8ed1-a330f7804111,,1.A.1.b.5,11-1011.00
o_jobAbilities/720f4c4c-7262-43a1-8493-2e1997159468,,1.A.1.b.6,11-1011.00
o_jobAbilities/a928f59c-fe1e-429f-8314-b52f23540981,,1.A.1.b.7,11-1011.00
o_jobAbilities/d7f5eb05-a266-4f19-8633-40c324d37bf8,,1.A.1.c.1,11-1011.00
o_jobAbilities/e87f85af-8d8d-4e83-9822-e6efa5208511,,1.A.1.c.2,11-1011.00
o_jobAbilities/19bda020-aab4-4b12-9b4e-3934dc0ca90d,,1.A.1.d.1,11-1011.00
o_jobAbilities/086e0b94-a551-4c5a-bac3-91d3b868ca06,,1.A.1.e.1,11-1011.00
o_jobAbilities/2e1bd046-32e8-4b7d-8906-e316e366b7de,,1.A.1.e.2,11-1011.00
o_jobAbilities/534898a7-edde-44ed-8247-756a4dfb2a89,,1.A.1.e.3,11-1011.00
o_jobAbilities/986c3b85-a11f-414c-be50-f2c12e91fcb2,,1.A.1.f.1,11-1011.00
o_jobAbilities/d31381c1-4fdb-462d-9477-30774c9f4b1a,,1.A.1.f.2,11-1011.00
o_jobAbilities/a8d899c7-dd37-490d-9edb-5912912b8b67,,1.A.1.g.1,11-1011.00
o_jobAbilities/98084690-c188-4845-a716-591cc38d550a,,1.A.1.g.2,11-1011.00
o_jobAbilities/78507896-0853-4fb7-9b68-0506ed3c072c,,1.A.2.a.1,11-1011.00
