_id,Scale ID,Element ID,O*NET-SOC Code
o_jobKnowledge/4a0656cb-2b0e-4ec2-b70e-d67cf25c63a7,,2.C.1.a,11-1011.00
o_jobKnowledge/cc046cd5-7ee4-41e8-856a-ef0d08906f48,,2.C.1.b,11-1011.00
o_jobKnowledge/5d7a04ec-84fc-4f47-9d99-8c50eff09f7c,,2.C.1.c,11-1011.00
o_jobKnowledge/e97d81ed-234b-43e6-9ad6-202dadc14926,,2.C.1.d,11-1011.00
o_jobKnowledge/562fe458-b0aa-44c8-8129-df8953081dd8,,2.C.1.e,11-1011.00
o_jobKnowledge/d0e8cda6-a864-4f76-b32b-b28a8c494e98,,2.C.1.f,11-1011.00
o_jobKnowledge/99280230-c507-4360-a3a0-c23ead5cfb88,,2.C.2.a,11-1011.00
o_jobKnowledge/4857cfd0-24b7-494b-93f8-79137423d175,,2.C.2.b,11-1011.00
o_jobKnowledge/9e9cbda5-f40a-432e-aed8-b58bca2d0506,,2.C.3.a,11-1011.00
o_jobKnowledge/37498205-6bd0-4441-bcb2-a35026eee743,,2.C.3.b,11-1011.00
o_jobKnowledge/c9337611-16b1-4ef0-8975-21768fc563dc,,2.C.3.c,11-1011.00
o_jobKnowledge/71b930e9-be8a-451d-8719-8ccbdf2efd51,,2.C.3.d,11-1011.00
o_jobKnowledge/433d8428-5bcc-43cb-bf7c-6645432ef501,,2.C.3.e,11-1011.00
o_jobKnowledge/c749782f-5e59-44e9-a31f-c36988523801,,2.C.4.a,11-1011.00
o_jobKnowledge/e8fd6408-3950-4ec5-83b5-5b08593d91cf,,2.C.4.b,11-1011.00
o_jobKnowledge/e8ca266c-c604-4a47-9971-bb9c23dbdc37,,2.C.4.c,11-1011.00
o_jobKnowledge/241b58f6-ff99-469c-9fe4-25916cf60661,,2.C.4.d,11-1011.00
o_jobKnowledge/b24d3355-38fb-4edc-9d5b-185849f415c9,,2.C.4.e,11-1011.00
o_jobKnowledge/247ca060-0943-4c6c-a1b6-cdfad182ffca,,2.C.4.f,11-1011.00
o_jobKnowledge/da59ae44-f29c-46e9-b45f-928d8e42424f,,2.C.4.g,11-1011.00
o_jobKnowledge/1d0a4256-76ba-45d0-aead-948a2b071c08,,2.C.5.a,11-1011.00
o_jobKnowledge/8f6bd815-23ee-4a81-b657-62babb7ac0c1,,2.C.5.b,11-1011.00
o_jobKnowledge/b1549944-91d5-4178-b133-2ec81673bd44,,2.C.6,11-1011.00
o_jobKnowledge/36750ff7-a155-42d3-8855-8cbb2a995b0c,,2.C.7.a,11-1011.00
o_jobKnowledge/47e6c0e5-5912-4761-bb32-7292362f51d2,,2.C.7.b,11-1011.00
o_jobKnowledge/e4ffae36-9690-4f91-b72c-ddac5b2724b5,,2.C.7.c,11-1011.00
o_jobKnowledge/c07718b3-1712-4680-a7e4-05fa0d425252,,2.C.7.d,11-1011.00
o_jobKnowledge/8bf8a849-c927-4461-9dda-586f082121dd,,2.C.7.e,11-1011.00
o_jobKnowledge/20dde625-81a0-4782-b5a2-acbf91b2c1ca,,2.C.8.a,11-1011.00
