_from,_to,Shown in My Next Move,Description
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/227ffc8f-811b-444a-ba79-9c13dbbd477b,N,Chief Executives -> Chief Diversity Officer (CDO)
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/c5f42cc5-8d88-45f2-a2ce-2fe2fab8bf8f,Y,Chief Executives -> Chief Executive Officer (CEO)
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/e395620e-b3c0-4b6e-a250-d30be5938089,Y,Chief Executives -> Chief Financial Officer (CFO)
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/cafe38c3-07bc-4511-a9b7-8556e91589bb,N,Chief Executives -> Chief Nursing Officer
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/8946d099-037d-421d-a079-f989611129c6,N,Chief Executives -> Chief Operating Officer (COO)
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/840165ff-8cb2-42fc-868a-0a81ea3b1e76,N,Chief Executives -> Executive Director
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/8f25a90c-0c97-4751-984a-05d450ddf284,N,Chief Executives -> Executive Vice President (EVP)
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/3e1073b6-794f-47f1-8e17-6d2d997a5cc8,N,Chief Executives -> Operations Vice President
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/8784616e-f81a-4339-b39f-2e1504674580,Y,Chief Executives -> President
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_reportedTitles/516388d8-4662-45b7-82bf-4caa7830be68,Y,Chief Executives -> Vice President
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/9f645902-f4eb-4ecd-b0c4-0475488e77ed,Y,Chief Sustainability Officers -> Corporate Sustainability Process Manager
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/8a1a2314-b971-48e4-8459-54b0718808ae,Y,Chief Sustainability Officers -> Director of Sustainability
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/54bada25-a3dc-4fe5-8727-96e767568a1a,N,Chief Sustainability Officers -> Director of Sustainability Programs
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/befad2e6-3b27-4afc-9555-6d2213a17459,Y,Chief Sustainability Officers -> Director of Sustainable Design
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/113e891c-8bbe-4f20-ade7-ec2f77bb90e9,N,Chief Sustainability Officers -> Sustainability Coordinator
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/0bf86278-08ad-4f59-8787-b0b822bc6499,Y,Chief Sustainability Officers -> Sustainability Director
o_jobs/c7730e17-eb87-40d9-b6fc-479109173963,o_reportedTitles/3fafff6c-6a22-4adf-9c57-7271141616d4,N,"Chief Sustainability Officers -> Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)"
