_id,Scale ID,Element ID,O*NET-SOC Code
o_jobSkills/86b758db-841b-4b0e-848b-91376d94693d,,2.A.1.a,11-1011.00
o_jobSkills/cab536d1-c882-40e9-884b-a710a0621708,,2.A.1.b,11-1011.00
o_jobSkills/e3c6fb09-c56d-4612-b38f-486a835fd819,,2.A.1.c,11-1011.00
o_jobSkills/613be716-7865-4ba2-861e-a7b69965d988,,2.A.1.d,11-1011.00
o_jobSkills/4479ada7-ef7f-4d41-8039-7ff1350f7763,,2.A.1.e,11-1011.00
o_jobSkills/5fe8ad9a-8309-4896-8a85-a393051bf265,,2.A.1.f,11-1011.00
o_jobSkills/bb323a76-18a6-4c6f-8016-c6c752ca24ea,,2.A.2.a,11-1011.00
o_jobSkills/4957db88-3c24-4aae-8341-02c20920e143,,2.A.2.b,11-1011.00
o_jobSkills/b8f1cc6f-9a9d-4478-bfd9-82490e5b814f,,2.A.2.c,11-1011.00
o_jobSkills/0ec0314e-b277-46fb-a41d-d891b8f97a77,,2.A.2.d,11-1011.00
o_jobSkills/ce7ce083-8735-4ffe-ad8f-6dd4479fd0b1,,2.B.1.a,11-1011.00
o_jobSkills/5ec68171-5546-4513-bf70-5006a6a38a70,,2.B.1.b,11-1011.00
o_jobSkills/e3c750b2-2a3f-4373-acd0-7206aaef3aab,,2.B.1.c,11-1011.00
o_jobSkills/7fabe0ce-5137-4aaf-b292-31dc332cf122,,2.B.1.d,11-1011.00
o_jobSkills/4eb2ae8b-aad0-403d-92f8-ef5cea16f0a0,,2.B.1.e,11-1011.00
o_jobSkills/9927ecbd-e4a4-43ad-9c13-2552b0a6c6c3,,2.B.1.f,11-1011.00
o_jobSkills/1e539366-bf80-4ad5-ae6f-6becb9582cd6,,2.B.2.i,11-1011.00
o_jobSkills/5a8a7a0e-9092-42c3-944d-a6f463c192c1,,2.B.3.a,11-1011.00
o_jobSkills/e64bf1d5-6242-443c-b377-f67296af5fa2,,2.B.3.b,11-1011.00
o_jobSkills/6d3c3e02-12e2-4542-8d6e-d66ec8966aca,,2.B.3.c,11-1011.00
o_jobSkills/0a8afc38-6837-4497-a5bb-624abc3586a9,,2.B.3.d,11-1011.00
o_jobSkills/784345d7-0730-4aed-9c58-bc99dc16afa5,,2.B.3.e,11-1011.00
o_jobSkills/3e9dcefb-2c14-4998-be58-7c63b58c552e,,2.B.3.g,11-1011.00
o_jobSkills/dc1ce96e-a6e6-4144-9c71-9e2488bc6ccc,,2.B.3.h,11-1011.00
o_jobSkills/2488d6c1-afb3-4811-9a4e-6c06489bee99,,2.B.3.j,11-1011.00
o_jobSkills/0187417c-c1ec-433d-9228-16031c655606,,2.B.3.k,11-1011.00
o_jobSkills/6c3f2afd-546c-461b-8285-d04fc1386b26,,2.B.3.l,11-1011.00
o_jobSkills/7ef5d94e-db9f-46e8-a4bf-845e863a2820,,2.B.3.m,11-1011.00
