_id,Scale ID,Task ID,O*NET-SOC Code
o_jobTaskRatings/8c38b0c6-2d14-42c1-beb8-72b459e170c1,,8823,11-1011.00
o_jobTaskRatings/f16c2bf2-179b-4da2-b863-399a645ce12f,,8831,11-1011.00
o_jobTaskRatings/7a53f368-5c1b-4f1e-958c-e1dfc4a610c5,,8825,11-1011.00
o_jobTaskRatings/47581fb4-3604-476a-bfd3-10842e1e47a1,,8826,11-1011.00
o_jobTaskRatings/af96ac0d-2824-41f3-98b1-06e92a01e0d4,,8827,11-1011.00
o_jobTaskRatings/5c180d90-ad43-4a3d-af32-d91337df9968,,8824,11-1011.00
o_jobTaskRatings/2477d445-e024-4b4c-812d-483a8e8b169d,,8836,11-1011.00
o_jobTaskRatings/f6ec4d61-666b-4451-9985-2d2525727bb6,,8832,11-1011.00
o_jobTaskRatings/b40cbe0b-8a44-473e-b50f-5498ee8c032c,,8835,11-1011.00
o_jobTaskRatings/9e96e876-683c-4d22-9112-fb27b588cbde,,8833,11-1011.00
o_jobTaskRatings/430eb291-096c-4615-8191-fb893f756a7f,,8829,11-1011.00
o_jobTaskRatings/cbdf8072-b173-4113-95f4-6bd10b4fa4e9,,8837,11-1011.00
o_jobTaskRatings/7c183af3-117c-46ff-a62a-c05979dc2bb1,,8830,11-1011.00
o_jobTaskRatings/7b03ddc7-aba9-4dda-a8b4-456e7a4f5302,,8839,11-1011.00
o_jobTaskRatings/d373dc4f-4fc8-48b3-9d79-502e60052f47,,8843,11-1011.00
o_jobTaskRatings/bd4365ef-fa8d-4547-9f3c-5f86c8ba3b32,,8834,11-1011.00
o_jobTaskRatings/462b8e55-2ff9-4c38-88e1-fb4ca07796cd,,20461,11-1011.00
o_jobTaskRatings/6c681427-c1bd-4a5c-8541-aa1005fc18a5,,8846,11-1011.00
o_jobTaskRatings/e0f388a9-8852-4bc6-b1a3-7189a70337c6,,8848,11-1011.00
o_jobTaskRatings/5e90b637-41e3-46c6-be3b-e6e325059a34,,8828,11-1011.00
o_jobTaskRatings/5dd9073d-6d4c-4fdc-9520-afe4f2b369a6,,8844,11-1011.00
o_jobTaskRatings/f3396f06-d9a6-4479-8670-0fc80a184647,,8845,11-1011.00
o_jobTaskRatings/190c73af-bcce-460a-aad3-5fc5947c7109,,8847,11-1011.00
o_jobTaskRatings/f1614221-c967-44ec-adfb-9d0ab127fefa,,8851,11-1011.00
o_jobTaskRatings/b9e21740-37f2-4922-88e6-c195a5e99133,,8838,11-1011.00
o_jobTaskRatings/688e5c13-add3-4664-9be5-bdd7178a1317,,8853,11-1011.00
o_jobTaskRatings/639864c1-8bfc-4381-b119-da7815dcaf82,,8840,11-1011.00
o_jobTaskRatings/942b8b4f-766e-476e-8971-2fc47087f930,,8849,11-1011.00
