_from,_to,Example,Hot Technology
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/8daa532f-f5b0-4b84-a787-ebfc6361ef69,Adobe Systems Adobe Acrobat,Y
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/29ec7de1-373c-4a74-8ef3-ba139a150221,AdSense Tracker,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/1b6b1004-428e-4116-82b9-650166ab2855,Atlassian JIRA,Y
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/9638076a-4369-494c-ab5d-02e74a628bc1,Blackbaud The Raiser's Edge,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/fd93dbb7-7201-4e83-a377-9acdf7796e6b,ComputerEase Construction Accounting,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/97fd6cee-b053-40b6-bac9-fc66cb9b38d4,Database reporting software,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/29ec7de1-373c-4a74-8ef3-ba139a150221,Databox,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/3e6eec72-7b77-407d-bc0a-2b49758446f0,Email software,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/3940dca1-2aeb-4f43-a6e6-c8567c930b1c,Enterprise resource planning ERP software,Y
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/ffa1085a-f9d0-4813-aba0-f586326a8ca0,Exact Software Macola ES Labor Performance,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/fac2d651-d2a7-4cb3-810a-0f877926b498,Extensible markup language XML,Y
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/fd93dbb7-7201-4e83-a377-9acdf7796e6b,Fund accounting software,N
o_jobs/387a5fff-491d-4d2a-b418-7e59ab0a2fb7,o_techSkills/699635d5-6b3c-4cfd-b454-11ef0627eefc,Graphic presentation software,N
