_id,Element ID,Element Name
o_knowledge/fd508e6c-b42a-43cb-bdff-c5f58951e2a7,2.C.1.a,Administration and Management
o_knowledge/bd56b1c0-1613-487d-ade1-e98fc680cbd8,2.C.1.b,Clerical
o_knowledge/13d2cc32-1c51-4e05-919d-d6a438753487,2.C.1.c,Economics and Accounting
o_knowledge/0f2db11d-3b5c-4a4b-968c-4b5462b78801,2.C.1.d,Sales and Marketing
o_knowledge/320312bd-af59-40de-b382-034cdfb77c35,2.C.1.e,Customer and Personal Service
o_knowledge/4f33368b-773d-4db4-8c71-15abb45a7bd1,2.C.1.f,Personnel and Human Resources
o_knowledge/c1661e6a-543c-4877-8f10-2a16feb988ed,2.C.2.a,Production and Processing
o_knowledge/f04ce7d1-ce84-4d5b-bed8-15f3bdb2fc23,2.C.2.b,Food Production
o_knowledge/4a8227f3-3c49-4ed3-beb4-ffd9da95aca0,2.C.3.a,Computers and Electronics
o_knowledge/4ea7ee5c-8624-4f6c-954a-b8481a88b83d,2.C.3.b,Engineering and Technology
o_knowledge/22ae6640-34b4-4db7-9028-13813066defa,2.C.3.c,Design
o_knowledge/d0f3ca36-bd3b-4fcc-8f98-f7ec93b95e29,2.C.3.d,Building and Construction
o_knowledge/3f98c38c-8f99-41d9-aa52-9d2325e5fa91,2.C.3.e,Mechanical
o_knowledge/ed5e12f0-6534-4809-bbc3-d1660c978959,2.C.4.a,Mathematics
o_knowledge/ee92a586-f569-497b-8d76-59b04e306749,2.C.4.b,Physics
o_knowledge/a8fd7863-2bf9-49cb-8817-5c4b3d4f7144,2.C.4.c,Chemistry
o_knowledge/fefc26a8-9017-4387-9a08-fdaef4cd14a6,2.C.4.d,Biology
o_knowledge/cc12a9df-e320-4e43-999a-a57c0faa8a2d,2.C.4.e,Psychology
o_knowledge/8c3bacfd-a570-42cc-82a3-948d4d9ec826,2.C.4.f,Sociology and Anthropology
o_knowledge/75df08fe-5089-4ac7-9d1d-4d9867f8dc5d,2.C.4.g,Geography
o_knowledge/8b61031e-d642-4745-a5c1-a736300d13fc,2.C.5.a,Medicine and Dentistry
o_knowledge/09ccfe09-be56-4fd7-948a-6ab3fb6b924f,2.C.5.b,Therapy and Counseling
o_knowledge/1e491e7a-1acc-4879-b9c0-bb45de20b79d,2.C.6,Education and Training
o_knowledge/eb6b7805-3ebe-4c4e-a9ad-36a52b0fe802,2.C.7.a,English Language
o_knowledge/2d9bed46-cb77-441e-97ec-8e6e227f1eb1,2.C.7.b,Foreign Language
o_knowledge/5d10c9d8-3bcd-400e-a421-ea3588d7d684,2.C.7.c,Fine Arts
o_knowledge/38c22f7e-4bcd-4619-b307-74d1b5c0123e,2.C.7.d,History and Archeology
o_knowledge/f6507d40-8d70-4247-9026-fb01ca9c98ef,2.C.7.e,Philosophy and Theology
o_knowledge/dc4f0e92-175b-4ff0-b4e3-cc981beab777,2.C.8.a,Public Safety and Security
o_knowledge/25ede3d7-12a9-4e50-881d-acf49449808d,2.C.8.b,Law and Government
o_knowledge/5d4e7bda-6856-4352-b5c1-30317bd0ae47,2.C.9.a,Telecommunications
o_knowledge/afe3db83-84d2-4999-bb37-0a5013881dd0,2.C.9.b,Communications and Media
o_knowledge/fef6d703-2f6e-4765-99d0-8e75f3a5051b,2.C.10,Transportation
