_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/a1694b72-e65a-4ec6-a536-96dff9180545,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,87,07/2014,Incumbent
o_tasks/78812eb9-d356-40e5-af41-4c57b5639f96,388ec929-aa86-481d-acb7-323cb12acc8e,Conduct employee safety training.,New,9,07/2011,Incumbent
o_tasks/10f51d4f-435f-4a19-8a4a-a1f5a8b89ce4,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,87,07/2014,Incumbent
o_tasks/315585af-4d82-437c-8265-f3c6b243872b,b8a10b4a-5d44-45fc-9ac6-47d862d4c170,Manage safety programs at power generation facilities.,New,5,07/2012,Incumbent
o_tasks/63524367-5955-4c5c-bca4-08a74b8974f6,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,87,07/2014,Incumbent
o_tasks/2b0d0891-7d67-4107-8242-81ac6ca6ebf2,0c743b43-0bc9-4b3d-a52b-da1119824e19,Train employees in power plant operations.,New,5,07/2016,Incumbent
o_tasks/28ab664a-4877-445a-83e9-0857062098c0,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,87,07/2014,Incumbent
o_tasks/5dc506fa-f33b-4657-94a3-f988e734a761,2d806641-0dfc-42de-af5e-4d731f94c66d,Evaluate fitness and wellness programs to determine their effectiveness.,New,6,07/2015,Occupational Expert
o_tasks/a5c16538-7f7e-4c4c-96e4-31eaa3769ac5,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,87,07/2014,Incumbent
o_tasks/8ba670af-5da4-48af-b10b-2735449b44b3,88d48aea-7d0d-4d0c-9d07-aacd3782eabf,Deliver death certificates to medical facilities or offices to obtain signatures from legally authorized persons.,New,6,07/2014,Incumbent
o_tasks/483d9cb8-6813-4e34-8d58-c69cfc03d12c,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,87,07/2014,Incumbent
o_tasks/b13987ef-585b-42d7-82dc-f7456336fa1f,894f77b8-089f-432a-8c98-ad2fd6c7c9db,"Monitor the performance of the gaming floor, relocating games and installing new games as necessary.",New,6,07/2014,Incumbent
o_tasks/accbbd5e-24cd-4a10-94bb-6ebe7fe5994c,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,87,07/2014,Incumbent
o_tasks/5eced76c-0af1-4192-931c-85a609886b93,da1f25ba-a5c0-473d-9a4e-0020411d762c,Identify and apply for project funding.,New,8,07/2013,Occupational Expert
o_tasks/80893902-86a5-4920-aab7-8b234d71b183,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,86,07/2014,Incumbent
o_tasks/0356edc7-5765-4214-a830-d31def7084ec,5dd518a4-69ac-414e-85df-eabdb87581d8,"Send samples of clients' work and other promotional material to potential employers to obtain auditions, sponsorships and endorsement deals.",New,9,06/2007,Incumbent
o_tasks/1da5396f-0ee6-4826-b2e5-ab61c289a6ac,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,86,07/2014,Incumbent
o_tasks/a4e5f452-6814-446d-943d-bb7da6855587,7a3bfc9e-055d-4566-9d97-5e093df04a22,Attend mediations or trials.,New,5,06/2010,Incumbent
o_tasks/26b00d4b-edde-4d46-87d9-90a15b51e491,8833,"Preside over or serve on boards of directors, management committees, or other governing boards.",Core,87,07/2014,Incumbent
o_tasks/e92e079f-a883-4704-a78e-5fe96c0efbe5,69cef214-bbe4-404c-810a-fe1f7098931f,Contact vendors to locate replacement parts for vehicles.,New,5,07/2016,Incumbent
o_tasks/bbf8baab-23a6-4b56-a96c-2766a4adc831,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,87,07/2014,Incumbent
o_tasks/344d32ec-152e-4dae-b709-7ba829cea65d,b847fb62-f679-493c-be9c-6f7d80250bcb,Discuss insurance claims with customers or damage claimants.,New,13,07/2016,Incumbent
o_tasks/5e7d2200-01e9-4d3b-928c-5075a37bef7e,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,87,07/2014,Incumbent
o_tasks/250cec78-d9b7-4298-8650-26465b224478,36679af9-06fa-453f-b14a-f949f138987d,Review repair cost estimates and negotiate with automobile repair shops to secure agreement on cost of repairs.,Revision,5,07/2016,Incumbent
o_tasks/fa4bcfeb-8c1e-4332-867b-bde59b918e7b,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,87,07/2014,Incumbent
o_tasks/1faf763a-bfe0-42b5-b5b3-6596dc6c9f9f,d65a0144-b3ca-47b7-89b2-be0fb9aeedbc,"Develop guidelines for nondiscriminatory employment practices, such as affirmative action plans and equal opportunity employment policies.",Revision,13,07/2015,Incumbent
o_tasks/334913db-21be-43f8-8814-8c848f6b1931,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,87,07/2014,Incumbent
o_tasks/d63d8d0f-04e9-4d5f-a840-d75200d6fcc8,f1801585-3c1f-4ec0-bfdc-80ecc8e2a9ad,"Train employees on equal opportunity laws, guidelines, or policies, such as discrimination, diversity, harassment, or affirmative action.",New,13,07/2015,Incumbent
o_tasks/4559dacc-fb51-41d2-842e-1cf50bf6166d,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,87,07/2014,Incumbent
o_tasks/c8fc5e5c-c41c-473c-a92c-c5184c265302,95085b7a-efd3-4875-99b9-6842b9d92fcd,Develop regulatory strategies for products.,New,4,08/2019,Occupational Expert
o_tasks/8da3a9f1-3daa-4f88-9547-86b5e31d6384,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,86,07/2014,Incumbent
o_tasks/9573ad12-b0c9-4849-92f1-126578bc5194,c329b30d-02ff-44a8-9429-f1a867cd7028,"Contact potential clients, meet with professional and trade associations, and produce brochures and other publications to promote conference, convention, and trade show services.",Revision,8,07/2016,Incumbent
o_tasks/2dddef1c-03e4-43aa-90aa-6269c982e51a,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Core,87,07/2014,Incumbent
o_tasks/10a0f47d-1867-4ef1-8705-fed3f04279d7,407400fb-8962-423a-b504-39bc4b1aa027,"Plan and develop programs, agendas, budgets, menus, and services according to customer requirements.",Revision,7,07/2016,Incumbent
o_tasks/e4f33306-978e-4acf-9bd1-dead21c5fbb4,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Core,87,07/2014,Incumbent
o_tasks/f11bf048-a7fe-488b-9c94-5b94ce1d32b4,249b2a00-1d83-432f-988e-b9c174a19d2b,Develop and administer compensation programs such as merit or incentive pay.,New,11,07/2017,Occupational Expert
o_tasks/08428df2-70cb-4f64-b4d3-f65f692aca62,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Core,87,07/2014,Incumbent
o_tasks/82c61ece-6e28-4c65-a104-4cc251618e4d,e90cb393-da9b-47ce-96cd-fb5a66d5668e,Process invoices for payment.,New,6,08/2018,Incumbent
o_tasks/32e22032-f822-4371-bb3f-0ccbc86dc2b6,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Supplemental,87,07/2014,Incumbent
o_tasks/b0b2fc3a-226d-43f1-8faf-5019ef9e245a,39402a93-c660-4a83-897e-4e054dc8a13c,Contact customers regarding delinquent accounts to collect payments.,New,8,06/2009,Occupational Expert
o_tasks/c2b26115-c9cf-4bbc-9f04-3ab5e9495239,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,87,07/2014,Incumbent
o_tasks/adbcc01a-d82a-46fc-af69-965508a96e34,486508e2-1d51-47c9-b0b9-97080beb4d84,Answer agents' questions about insurance coverage.,New,7,08/2018,Occupational Expert
o_tasks/0b4cf5a9-65d0-4885-905f-4d069d77f08e,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,87,07/2014,Incumbent
o_tasks/ee560bbc-64d3-473f-8cb2-c4d1a58e7981,1a132ded-9c84-465a-abf7-1115602b7a60,Schedule appointments with clients.,New,5,07/2013,Occupational Expert
