_id,Commodity Code,Commodity Title
o_tools/638f8a3b-287f-4308-9b9b-676a67901084,44101809,Desktop calculator
o_tools/a186055e-07bd-4719-bc48-63c6b6c7a048,43211507,Desktop computers
o_tools/3c6b6d62-8545-4156-b243-f5128ab1deef,43211503,Notebook computers
o_tools/9230b7b1-e2e7-4f0f-a7b3-ea60e1feb63b,43211508,Personal computers
o_tools/0d345d19-2feb-4ab0-9dbb-a027bd95ccc6,43211504,Personal digital assistant PDAs or organizers
o_tools/1016f073-98d5-4729-b710-743295962ce1,43191501,Mobile phones
o_tools/a7aaa77a-c0f4-43fc-8759-4f5acbabc518,43201813,High capacity removable media drives
o_tools/437ebe8c-723b-4777-b753-c3f11142daff,43211711,Scanners
o_tools/5ed1adb9-1bd7-4c0f-b038-1a393ea54a04,43211715,Portable data input terminals
o_tools/9ff34540-ac4d-4f21-8c92-e056dbf37c14,43191507,Special purpose telephones
o_tools/20be9bd6-0ea5-4e5f-98fc-548f376d34b0,44101501,Photocopiers
o_tools/6ba23039-41f6-4b55-8c41-ad84775c4a5c,45111902,Videoconferencing systems
o_tools/a3fc012e-9b97-4616-8822-cd355010a4b8,43211702,Magnetic stripe readers and encoders
o_tools/f28e181b-a992-4d53-b2df-8ebd5dda5fb0,45121504,Digital cameras
o_tools/1a820bea-cfb8-41ed-8043-804be75a60d7,24101504,Hand trucks or accessories
o_tools/2f8178ce-03dd-449f-a7f4-ae07c111cab5,41103418,Temperature and humidity walk in environmental chamber
o_tools/a9f38d26-1636-49ff-8371-d780e7e91ccf,43211505,Point of sale POS terminal
o_tools/358a4bc0-9d03-4223-903b-501ef14bdf73,41114508,Surface testers
o_tools/1efb26d8-1619-43d8-ad3e-07014440b40d,41115403,Spectrometers
o_tools/664df982-3221-483e-ad76-ee0e9e2113a7,46171610,Security cameras
o_tools/3bd8256e-0975-4faf-a4fa-a989c770c27d,41103305,High vacuum equipment
o_tools/4351dfe0-c2b7-4074-9d8c-30e657d2f4a5,43212105,Laser printers
